id,name_cn,roster,tier,cost,countInPack,prefab,size,life,damage,attackStrength,moveSpeed,isFly,radius,skillId,skillKind,skillDamage,attackRange,minAttackRange,attackInterval,splashRange,vsGround,vsAir,vsAirTech
1,堡垒,main,3,400,1,Mech_Default_1,Huge,43938,6524,3,6,False,13.0,1001,projectileSkillDatas,,100.0,0.0,1.8,5.0,True,False,True
2,长弓,main,1,100,1,Mech_Default_2,Medium,1622,2329,3,8,False,8.0,2001,projectileSkillDatas,,140.0,0.0,3.1,0.0,True,True,False
3,火神,main,3,400,1,Mech_Default_3,Huge,30279,75,3,6,False,13.0,3001,projectileSkillDatas,,95.0,0.0,0.1,15.0,True,False,False
4,熔点,main,3,400,1,Mech_Default_4,Huge,30907,168,3,6,False,13.0,4001,laserSkillDatas,,115.0,0.0,0.2,3.0,True,True,False
5,犀牛,main,2,200,1,Mech_Default_5,Medium,19297,3560,3,16,False,11.0,5001,skillDatas,,6.0,0.0,0.9,6.0,True,False,False
6,兵蜂,main,2,200,12,Mech_Default_6,Small,311,202,3,16,True,3.5,6001,projectileSkillDatas,,50.0,0.0,1.4,0.0,True,True,False
7,野马,main,1,200,12,Mech_Default_7,Small,343,36,3,16,False,3.0,7001,projectileSkillDatas,,95.0,0.0,0.4,0.0,True,True,False
8,钢球,main,1,200,4,Mech_Default_8,Medium,4571,55,3,16,False,6.0,8001,laserSkillDatas,,45.0,0.0,0.2,0.0,True,False,False
9,尖牙,main,1,100,18,Mech_Default_9,Small,117,63,3,6,False,2.0,9001,projectileSkillDatas,,75.0,0.0,1.5,0.0,True,True,False
10,爬虫,main,1,100,24,Mech_Default_10,Small,263,79,3,16,False,2.0,10001,skillDatas,,6.0,0.0,0.6,0.0,True,False,False
11,霸主,main,3,500,1,Mech_Default_11,Huge,21339,4742,3,10,True,15.0,11001,projectileSkillDatas,,120.0,0.0,4.6,7.0,True,True,False
12,暴雨,main,2,200,4,Mech_Default_12,Medium,1149,772,3,6,False,6.0,12001,projectileSkillDatas,,180.0,70.0,6.6,5.5,True,False,False
13,铁锤,main,1,200,5,Mech_Default_13,Medium,3478,608,3,7,False,4.0,13001,projectileSkillDatas,,95.0,0.0,4.5,5.0,True,False,False
14,骇客,main,2,200,1,Mech_Default_14,Medium,3249,600,3,8,False,11.0,14001,controllBeamSkillDatas,,110.0,0.0,0.3,0.0,True,False,False
15,弧光,main,1,100,1,Mech_Default_15,Medium,4813,365,3,7,False,9.0,15001,projectileSkillDatas,,95.0,0.0,0.9,7.0,True,False,True
16,凤凰,main,2,200,2,Mech_Default_16,Medium,1491,2814,3,16,True,8.0,16001,projectileSkillDatas,,120.0,0.0,3.4,0.0,True,True,False
17,战争工厂,main,4,800,1,Mech_Default_17,Huge,113593,7520,3,6,False,34.2,17001,projectileSkillDatas,,100.0,0.0,1.8,4.5,True,False,False
18,恶灵,main,2,300,1,Mech_Default_18,Medium,14115,381,3,10,True,11.0,18001,projectileSkillDatas,,60.0,0.0,1.6,8.0,True,True,False
19,狂蝎,main,2,300,1,Mech_Default_19,Medium,18632,10650,3,7,False,12.0,19001,projectileSkillDatas,,100.0,0.0,4.5,15.0,True,False,False
20,火獾,main,1,200,3,Mech_Default_20,Medium,4222,27,3,9,False,6.0,20001,projectileSkillDatas,,75.0,0.0,0.1,7.0,True,False,False
21,剑齿虎,main,1,200,1,Mech_Default_21,Medium,14886,6881,3,8,False,11.0,21001,projectileSkillDatas,,95.0,0.0,3.2,5.0,True,False,False
22,台风,main,2,300,2,Mech_Default_22,Medium,9529,88,3,9,False,9.0,22001,projectileSkillDatas,,100.0,0.0,0.2,5.0,True,True,False
23,沙虫,main,3,400,1,Mech_Default_23,Huge,48645,9726,3,16,False,13.0,23001,skillDatas,,60.0,0.0,2.5,12.0,True,False,True
