unitId,unitNameCn,unitName,roster,order,inDefaultList,techId,name,category,supply,unlockCost,previousTechID,activeLevel,isTestData,iconName,text,description,descParams
1,堡垒,Fortress,main,0,True,1001,保护屏障,advancedEnergyShieldTechnologies,500,0,0,0,False,UT_Energy_Barrier,在单位身边生成一个大范围护盾，保护护盾内的所有友方，护盾生命值随着单位等级提高，每级增加40000,在单位身边生成一个大范围护盾，保护护盾内的所有友方，护盾生命值随着单位等级提高，每级增加{0},40000
1,堡垒,Fortress,main,1,True,10201,射程强化,technologyDatas,300,0,0,0,False,UT_Attack_Range_Increase,提升攻击距离40,提升攻击距离{0},40;
1,堡垒,Fortress,main,2,True,1105,防空弹幕,extraWeaponTechnologies,200,0,0,1,False,UT_Rockets2,每10秒发射16枚防空弹幕攻击敌人，弹幕只对空中单位造成伤害，每枚导弹造成900点伤害，射程170米,每{0}秒发射{1}枚防空弹幕攻击敌人，弹幕只对空中单位造成伤害，每枚导弹造成{2}点伤害，射程{3}米,10;16;900;170
1,堡垒,Fortress,main,3,True,1201,尖牙制造,supportUnitTechnologies,300,0,0,0,False,UT_Summon_Bot,每36秒生产8个尖牙，生产3次,每{0}秒生产{1}个尖牙，生产{2}次,36;8;3
1,堡垒,Fortress,main,4,False,10301,发射器过载,technologyDatas,150,0,0,0,False,UT_Overdrive,堡垒的攻击间隔减少50%，同时射程减少20米,堡垒的攻击间隔减少{0}%，同时射程减少{1}米,50;20
1,堡垒,Fortress,main,5,False,10801,精英射手,technologyDatas,150,0,0,0,False,UT_Elite_Shooter,效果跟随单位等级提升，每级射程增加5，攻击力增加25%,效果跟随单位等级提升，每级射程增加{0}，攻击力增加{1}%,5;25
1,堡垒,Fortress,main,6,False,701,双发,multiAttackTechnologies,100,0,0,0,False,UT_Double_Shot,每次攻击连续发射2枚炮弹，但是上弹时间会增加12%,每次攻击连续发射{0}枚炮弹，但是上弹时间会增加{1}%,2;12
1,堡垒,Fortress,main,7,False,3001,装甲强化,armorStrengthenTechnologyDatas,150,0,0,0,False,UT_Armor_Strengthen,生命值增加50%，并且在受到攻击时阻挡60点伤害。伤害阻挡效果跟随等级提升，每级额外阻挡60点伤害。,生命值增加{1}%，并且在受到攻击时阻挡{0}点伤害。伤害阻挡效果跟随等级提升，每级额外阻挡{0}点伤害。,60;50
1,堡垒,Fortress,main,8,False,110201,火箭拳,extraWeaponTechnologies,300,0,0,1,False,UT_Rocket_Punch,"堡垒发射拳头攻击敌人，在堡垒生命值低于85%和55%时各触发一次。火箭拳的射程180米，对半径25米内的敌人造成12000点,伤害随着单位等级提高，每级增加12000点伤害","堡垒发射拳头攻击敌人，在堡垒生命值低于{0}%和{1}%时各触发一次。火箭拳的射程{2}米，对半径{3}米内的敌人造成{4}点,伤害随着单位等级提高，每级增加{5}点伤害",85;55;180;25;12000;12000
1,堡垒,Fortress,main,9,False,10401,实心弹,technologyDatas,200,0,0,0,False,UT_Sniper_Mode,堡垒的攻击距离上升60米，溅射范围减少2，攻击间隔增加0.7秒,堡垒的攻击距离上升{0}米，溅射范围减少{1}，攻击间隔增加{2}秒,60;2;0.7
